,deployment_id,species,common_name,timestamp,number_of_objects
1,North Beach Fort Cam,aura,Turkey Vulture,7/30/2022 17:23,1
2,North Beach Fort Cam,NA,Bird,7/30/2022 17:23,1
3,North Beach Fort Cam,aura,Turkey Vulture,7/30/2022 17:23,1
4,North Beach Fort Cam,aura,Turkey Vulture,7/30/2022 17:23,1
5,North Beach Fort Cam,aura,Turkey Vulture,7/30/2022 17:23,1
6,North Beach Fort Cam,aura,Turkey Vulture,7/30/2022 17:23,1
7,North Beach Fort Cam,aura,Turkey Vulture,7/30/2022 17:23,1
8,North Beach Fort Cam,aura,Turkey Vulture,7/30/2022 17:23,1
9,North Beach Fort Cam,latrans,Coyote,7/31/2022 21:38,1
10,North Beach Fort Cam,latrans,Coyote,7/31/2022 21:38,1
11,North Beach Fort Cam,latrans,Coyote,7/31/2022 21:38,1
12,North Beach Fort Cam,latrans,Coyote,7/31/2022 21:38,1
13,North Beach Fort Cam,latrans,Coyote,7/31/2022 21:38,1
14,North Beach Fort Cam,latrans,Coyote,7/31/2022 21:38,1
15,North Beach Fort Cam,latrans,Coyote,7/31/2022 21:38,1
16,North Beach Fort Cam,latrans,Coyote,7/31/2022 21:38,1
17,North Beach Fort Cam,No CV Result,No CV Result,8/1/2022 2:20,1
18,North Beach Fort Cam,No CV Result,No CV Result,8/1/2022 2:20,1
19,North Beach Fort Cam,No CV Result,No CV Result,8/1/2022 2:20,1
20,North Beach Fort Cam,No CV Result,No CV Result,8/1/2022 2:20,1
21,North Beach Fort Cam,brachyrhynchos,American Crow,8/1/2022 16:47,1
22,North Beach Fort Cam,brachyrhynchos,American Crow,8/1/2022 16:47,1
23,North Beach Fort Cam,NA,Corvus Species,8/1/2022 16:47,1
24,North Beach Fort Cam,brachyrhynchos,American Crow,8/1/2022 16:47,1
25,North Beach Fort Cam,brachyrhynchos,American Crow,8/1/2022 16:47,1
26,North Beach Fort Cam,NA,Animal,8/2/2022 14:35,1
27,North Beach Fort Cam,NA,Animal,8/2/2022 14:37,1
28,North Beach Fort Cam,brachyrhynchos,American Crow,8/1/2022 16:47,1
29,North Beach Fort Cam,NA,Corvus Species,8/1/2022 16:47,1
30,North Beach Fort Cam,NA,Animal,8/2/2022 14:38,1
31,North Beach Fort Cam,NA,Animal,8/2/2022 14:35,1
32,North Beach Fort Cam,NA,Animal,8/2/2022 14:37,1
33,North Beach Fort Cam,No CV Result,No CV Result,8/2/2022 14:35,1
34,North Beach Fort Cam,NA,Animal,8/2/2022 14:35,1
35,North Beach Fort Cam,NA,Animal,8/1/2022 16:47,1
36,North Beach Fort Cam,NA,Animal,8/2/2022 14:37,1
37,North Beach Fort Cam,NA,Animal,8/2/2022 14:35,1
38,North Beach Fort Cam,NA,Animal,8/2/2022 14:37,1
39,North Beach Fort Cam,NA,Animal,8/2/2022 14:38,1
40,North Beach Fort Cam,No CV Result,No CV Result,8/2/2022 14:49,1
41,North Beach Fort Cam,NA,Animal,8/2/2022 14:40,1
